"","Cantidad_TGC_1","Cantidad_TGC_2","Respuesta_A","Respuesta_B","Direccion","Separacion","correctas_A","correctas_B","correctas"
"8159","2","0","2","1","0",11,1,0,0
"8160","3","3","2","3","90",14,0,1,0
"8161","1","0","1","0","0",17,1,1,1
"8162","1","1","0","1","135",17,0,1,0
"8163","0","0","4","1","90",8,0,0,0
"8164","1","3","1","3","90",14,1,1,1
"8165","0","3","1","3","90",20,0,1,0
"8166","2","0","2","1","45",17,1,0,0
"8167","2","2","2","2","0",11,1,1,1
"8168","1","1","0","1","45",17,0,1,0
"8169","1","1","2","2","45",8,0,0,0
"8170","2","1","2","2","45",5,1,0,0
"8171","1","1","1","2","135",5,1,0,0
"8172","0","0","1","1","45",14,0,0,0
"8173","1","2","1","3","45",17,1,0,0
"8174","0","3","0","2","135",14,1,0,0
"8175","2","1","2","1","0",8,1,1,1
"8176","2","1","2","2","135",8,1,0,0
"8177","0","0","0","0","45",5,1,1,1
"8178","3","0","3","0","135",3,1,1,1
"8179","2","1","2","1","90",20,1,1,1
"8180","1","1","1","2","0",5,1,0,0
"8181","2","1","2","1","90",5,1,1,1
"8182","0","1","0","1","90",5,1,1,1
"8183","1","0","1","1","90",11,1,0,0
"8184","0","2","1","2","135",20,0,1,0
"8185","1","1","1","1","0",5,1,1,1
"8186","1","1","1","1","135",3,1,1,1
"8187","0","1","0","1","45",8,1,1,1
"8188","0","0","0","1","0",20,1,0,0
"8189","2","1","2","1","90",14,1,1,1
"8190","1","1","2","1","135",14,0,1,0
"8191","2","1","2","1","90",11,1,1,1
"8192","2","2","2","2","90",3,1,1,1
"8193","1","0","1","0","90",14,1,1,1
"8194","1","1","1","2","135",14,1,0,0
"8195","2","1","2","0","135",11,1,0,0
"8196","0","0","0","0","45",3,1,1,1
"8197","1","1","1","2","45",11,1,0,0
"8198","1","3","1","3","0",8,1,1,1
"8199","0","1","0","1","135",8,1,1,1
"8200","1","1","2","1","135",11,0,1,0
"8201","0","3","0","1","135",8,1,0,0
"8202","2","0","2","1","45",3,1,0,0
"8203","2","2","2","2","0",3,1,1,1
"8204","2","1","2","1","90",20,1,1,1
"8205","3","2","3","2","90",20,1,1,1
"8206","1","0","1","2","135",11,1,0,0
"8207","0","1","0","2","45",3,1,0,0
"8208","2","0","2","1","90",11,1,0,0
"8209","1","2","1","2","90",3,1,1,1
"8210","2","0","2","0","0",3,1,1,1
"8211","0","1","0","2","135",11,1,0,0
"8212","1","1","1","1","90",5,1,1,1
"8213","0","1","0","2","90",14,1,0,0
"8214","2","1","1","1","90",11,0,1,0
"8215","0","0","1","0","135",8,0,1,0
"8216","1","2","1","2","0",3,1,1,1
"8217","2","0","2","1","45",14,1,0,0
"8218","3","0","3","0","135",11,1,1,1
"8219","0","1","2","1","135",14,0,1,0
"8220","1","2","1","2","0",5,1,1,1
"8221","2","1","2","1","0",20,1,1,1
"8222","0","2","0","1","90",5,1,0,0
"8223","1","1","1","2","135",11,1,0,0
"8224","2","0","2","1","0",11,1,0,0
"8225","1","2","2","1","135",20,0,0,0
"8226","1","0","1","0","0",14,1,1,1
"8227","1","1","1","1","135",5,1,1,1
"8228","1","0","2","0","135",8,0,1,0
"8229","3","0","3","1","0",20,1,0,0
"8230","2","2","2","1","90",11,1,0,0
"8231","0","0","1","0","135",5,0,1,0
"8232","1","3","1","1","90",11,1,0,0
"8233","1","0","1","0","135",8,1,1,1
"8234","1","0","1","0","45",5,1,1,1
"8235","0","1","1","1","0",11,0,1,0
"8236","0","0","0","2","0",17,1,0,0
"8237","1","0","1","1","45",11,1,0,0
"8238","0","2","0","1","135",5,1,0,0
"8239","1","1","1","2","45",17,1,0,0
"8240","1","0","1","1","90",8,1,0,0
"8241","0","1","2","1","90",11,0,1,0
"8242","1","3","1","3","45",3,1,1,1
"8243","1","0","1","2","90",17,1,0,0
"8244","1","1","1","1","45",11,1,1,1
"8245","1","0","2","1","0",20,0,0,0
"8246","1","2","1","2","45",5,1,1,1
"8247","1","0","1","2","90",8,1,0,0
"8248","0","4","2","3","90",20,0,0,0
"8249","1","0","1","0","45",14,1,1,1
"8250","0","0","0","1","0",8,1,0,0
"8251","0","1","1","1","135",20,0,1,0
"8252","2","1","2","1","135",14,1,1,1
"8253","1","0","1","2","45",8,1,0,0
"8254","1","2","2","2","0",20,0,1,0
"8255","1","2","1","2","0",17,1,1,1
"8256","0","0","0","1","135",3,1,0,0
"8257","1","2","2","2","90",17,0,1,0
"8258","2","1","2","1","45",8,1,1,1
"8259","2","0","2","1","0",11,1,0,0
"8260","2","1","2","1","135",20,1,1,1
"8261","1","1","1","1","135",11,1,1,1
"8262","0","1","0","1","0",3,1,1,1
"8263","3","2","3","1","0",14,1,0,0
"8264","0","3","1","3","0",17,0,1,0
"8265","2","1","2","2","0",11,1,0,0
"8266","1","1","2","1","90",5,0,1,0
"8267","1","0","1","1","0",14,1,0,0
"8268","0","2","0","2","0",8,1,1,1
"8269","2","3","2","3","135",3,1,1,1
"8270","1","1","2","1","135",17,0,1,0
"8271","2","0","2","1","45",5,1,0,0
"8272","1","0","1","1","0",20,1,0,0
"8273","1","0","2","1","0",20,0,0,0
"8274","1","1","1","2","0",17,1,0,0
"8275","2","2","2","1","90",11,1,0,0
"8276","1","0","1","2","135",17,1,0,0
"8277","3","1","2","1","90",5,0,1,0
"8278","0","0","0","0","0",20,1,1,1
"8279","3","2","3","1","45",17,1,0,0
"8280","0","1","0","1","45",3,1,1,1
"8281","0","1","0","1","90",20,1,1,1
"8282","1","1","2","1","45",8,0,1,0
"8283","0","2","1","3","0",14,0,0,0
"8284","2","1","2","2","45",17,1,0,0
"8285","1","0","1","2","45",17,1,0,0
"8286","1","0","1","0","90",17,1,1,1
"8287","0","1","0","2","45",5,1,0,0
"8288","2","1","2","1","90",14,1,1,1
"8289","1","1","1","1","45",20,1,1,1
"8290","2","1","2","1","0",5,1,1,1
"8291","1","0","1","0","135",3,1,1,1
